Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,Gasto en Salud % PIB,8,9,9,9,9,9,9,9,10,11,11,10,10,10,10,11,11,11,11
Canada,Gasto en Salud PPP per cápita,2430,2618,2758,2928,3087,3290,3555,3718,3855,4140,4257,4273,4384,4553,4660,4729,4909,5023,5200
Canada,Gasto Público % Gasto en Salud,73,73,72,73,73,73,73,73,73,73,73,74,74,74,74,74,73,73,73
Canada,Gasto Privado % Gasto en Salud,27,27,28,27,27,27,27,27,27,27,27,26,26,26,26,26,27,27,27
Chile,Gasto en Salud % PIB,7,7,7,7,7,7,6,6,7,7,7,7,7,7,8,8,9,9,9
Chile,Gasto en Salud PPP per cápita,672,713,751,795,815,840,951,1046,1112,1165,1230,1378,1510,1671,1779,1884,1949,2193,2306
Chile,Gasto Público % Gasto en Salud,36,36,38,38,39,39,41,42,44,47,47,47,48,48,48,48,50,50,51
Chile,Gasto Privado % Gasto en Salud,64,64,62,62,61,61,59,58,56,53,53,53,52,52,52,52,50,50,49
Colombia,Gasto en Salud % PIB,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8
Colombia,Gasto en Salud PPP per cápita,353,383,382,411,442,506,574,637,698,751,760,791,826,905,979,1054,1074,1114,1155
Colombia,Gasto Público % Gasto en Salud,75,75,76,77,74,72,72,71,69,72,72,73,70,70,70,71,70,71,72
Colombia,Gasto Privado % Gasto en Salud,25,25,23,21,25,27,27,29,31,28,28,26,30,30,30,29,30,29,28
Mexico,Gasto en Salud % PIB,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Mexico,Gasto en Salud PPP per cápita,493,536,567,668,720,739,781,824,851,892,912,942,1003,1032,1016,1060,1055,1072,1066
Mexico,Gasto Público % Gasto en Salud,45,44,43,42,43,42,43,44,46,47,49,51,52,53,53,53,52,52,50
Mexico,Gasto Privado % Gasto en Salud,55,56,57,58,57,58,57,56,54,53,51,49,48,47,47,47,48,48,50
United States of America,Gasto en Salud % PIB,13,13,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17
United States of America,Gasto en Salud PPP per cápita,4564,4915,5332,5741,6104,6455,6821,7172,7411,7681,7930,8131,8399,8600,9024,9491,9878,10210,10624
United States of America,Gasto Público % Gasto en Salud,44,45,45,45,45,45,46,46,47,48,49,49,49,49,50,51,50,50,50
United States of America,Gasto Privado % Gasto en Salud,56,55,55,55,55,55,54,54,53,52,51,51,51,51,50,49,50,50,50
Austria,Gasto en Salud % PIB,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,Gasto en Salud PPP per cápita,2708,2762,2936,3074,3288,3382,3592,3760,4025,4192,4303,4466,4751,4945,5083,5206,5476,5674,5879
Austria,Gasto Público % Gasto en Salud,74,74,73,73,72,73,73,73,74,73,72,73,73,72,73,72,72,72,73
Austria,Gasto Privado % Gasto en Salud,26,26,27,27,28,27,27,27,26,27,28,27,27,28,27,28,28,28,27
Belgium,Gasto en Salud % PIB,8,8,8,9,9,9,9,9,10,10,10,10,11,11,10,10,10,10,10
Belgium,Gasto en Salud PPP per cápita,2226,2352,2525,2851,3008,3083,3238,3382,3664,3929,4101,4269,4456,4621,4703,4835,5007,5289,5405
Belgium,Gasto Público % Gasto en Salud,75,75,74,74,75,74,74,74,75,76,76,76,76,76,76,76,76,76,76
Belgium,Gasto Privado % Gasto en Salud,25,25,26,26,25,26,26,26,25,24,24,24,24,24,24,24,24,24,24
Czech Republic,Gasto en Salud % PIB,6,6,6,7,6,6,6,6,6,7,7,7,7,8,8,7,7,7,8
Czech Republic,Gasto en Salud PPP per cápita,924,1032,1127,1273,1328,1403,1475,1579,1778,2016,1919,2011,2043,2380,2472,2442,2522,2753,3041
Czech Republic,Gasto Público % Gasto en Salud,89,87,88,87,88,85,86,84,81,83,83,84,84,83,83,82,82,82,83
Czech Republic,Gasto Privado % Gasto en Salud,11,13,12,13,12,15,14,16,19,17,17,16,16,17,17,18,18,18,17
Denmark,Gasto en Salud % PIB,8,8,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10,10
Denmark,Gasto en Salud PPP per cápita,2328,2492,2670,2745,2968,3109,3425,3643,3939,4318,4457,4516,4598,4762,4887,5038,5291,5589,5794
Denmark,Gasto Público % Gasto en Salud,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
Denmark,Gasto Privado % Gasto en Salud,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Estonia,Gasto en Salud % PIB,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,6,6,7,7
Estonia,Gasto en Salud PPP per cápita,485,492,547,636,741,838,918,1103,1302,1340,1365,1427,1514,1650,1770,1866,2009,2230,2428
Estonia,Gasto Público % Gasto en Salud,76,78,76,76,74,74,75,75,76,77,74,75,76,75,75,75,75,74,74
Estonia,Gasto Privado % Gasto en Salud,24,22,24,24,25,26,25,24,23,22,24,24,23,24,24,24,24,26,26
Finland,Gasto en Salud % PIB,7,7,8,8,8,8,8,8,8,9,9,9,10,10,10,10,9,9,9
Finland,Gasto en Salud PPP per cápita,1896,2011,2177,2297,2506,2650,2845,3050,3340,3480,3562,3773,3917,4069,4084,4099,4212,4340,4457
Finland,Gasto Público % Gasto en Salud,76,76,77,77,78,78,79,79,79,79,79,79,80,79,80,79,78,78,79
Finland,Gasto Privado % Gasto en Salud,24,24,23,23,22,22,21,21,21,21,21,21,20,21,20,21,22,22,21
France,Gasto en Salud % PIB,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,11,12,11,11
France,Gasto en Salud PPP per cápita,2517,2686,2876,2855,2971,3136,3391,3542,3710,3943,4061,4218,4288,4547,4659,4692,4943,5110,5250
France,Gasto Público % Gasto en Salud,73,73,73,73,73,73,71,71,71,71,70,70,70,70,71,72,73,73,73
France,Gasto Privado % Gasto en Salud,27,27,27,27,27,27,29,29,29,29,30,30,30,30,29,28,27,27,27
Germany,Gasto en Salud % PIB,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
Germany,Gasto en Salud PPP per cápita,2691,2819,2973,3107,3176,3277,3471,3642,3870,4133,4321,4587,4709,4953,5193,5355,5574,5931,6098
Germany,Gasto Público % Gasto en Salud,78,78,78,77,76,76,75,75,75,76,76,75,75,76,77,77,77,78,78
Germany,Gasto Privado % Gasto en Salud,22,22,22,23,24,24,25,25,25,24,24,25,25,24,23,23,23,22,22
Greece,Gasto en Salud % PIB,7,8,8,8,8,9,8,8,9,9,10,9,9,8,8,8,8,8,8
Greece,Gasto en Salud PPP per cápita,1418,1679,1864,2019,2062,2194,2359,2463,2728,2860,2679,2356,2215,2163,2100,2149,2239,2274,2340
Greece,Gasto Público % Gasto en Salud,62,63,60,60,59,61,62,63,65,68,69,66,64,61,57,57,52,52,52
Greece,Gasto Privado % Gasto en Salud,38,37,40,40,41,39,38,37,35,32,31,34,36,38,42,41,48,48,48
Hungary,Gasto en Salud % PIB,7,7,7,8,8,8,8,7,7,7,8,8,7,7,7,7,7,7,7
Hungary,Gasto en Salud PPP per cápita,803,901,1033,1254,1260,1365,1427,1373,1468,1497,1618,1720,1722,1773,1808,1835,1949,2004,2115
Hungary,Gasto Público % Gasto en Salud,69,67,69,70,70,70,70,68,68,68,67,66,65,66,67,68,68,69,69
Hungary,Gasto Privado % Gasto en Salud,31,33,31,30,30,30,30,32,32,32,33,34,35,34,33,32,32,31,31
Iceland,Gasto en Salud % PIB,9,9,9,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Iceland,Gasto en Salud PPP per cápita,2667,2822,3110,3272,3381,3426,3499,3627,3798,3745,3353,3317,3384,3592,3771,3979,4315,4740,5113
Iceland,Gasto Público % Gasto en Salud,81,81,81,82,81,81,82,83,83,82,80,80,80,80,80,81,82,82,82
Iceland,Gasto Privado % Gasto en Salud,19,19,19,18,19,19,18,17,17,18,20,20,20,20,20,19,18,18,18
Ireland,Gasto en Salud % PIB,6,6,7,7,7,8,8,8,9,10,11,11,11,10,10,7,7,7,7
Ireland,Gasto en Salud PPP per cápita,1796,2101,2370,2561,2823,3129,3372,3698,4059,4382,4561,4813,4955,4949,4962,5079,5365,5617,5897
Ireland,Gasto Público % Gasto en Salud,78,78,79,79,79,79,78,79,79,77,76,72,72,71,71,72,72,73,74
Ireland,Gasto Privado % Gasto en Salud,22,22,21,21,21,21,22,21,21,23,24,28,28,29,29,28,28,27,26
Israel,Gasto en Salud % PIB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
Israel,Gasto en Salud PPP per cápita,1794,1913,1920,1799,1887,1877,1874,1985,1990,2023,2102,2211,2343,2519,2560,2645,2853,3088,3207
Israel,Gasto Público % Gasto en Salud,63,63,64,63,62,60,62,61,61,61,63,63,63,63,63,63,63,64,65
Israel,Gasto Privado % Gasto en Salud,35,35,34,35,36,38,36,38,37,37,36,36,36,35,36,35,35,34,34
Italy,Gasto en Salud % PIB,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
Italy,Gasto en Salud PPP per cápita,2049,2171,2264,2292,2419,2517,2739,2785,3040,3103,3139,3212,3213,3216,3210,3266,3417,3572,3624
Italy,Gasto Público % Gasto en Salud,73,75,75,75,76,77,78,77,78,78,78,77,76,76,75,74,74,74,74
Italy,Gasto Privado % Gasto en Salud,27,25,25,25,24,23,22,23,22,22,22,23,24,24,25,26,26,26,26
Latvia,Gasto en Salud % PIB,5,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6
Latvia,Gasto en Salud PPP per cápita,434,519,578,602,756,808,900,1001,1086,1029,1069,1094,1146,1218,1296,1406,1631,1704,1896
Latvia,Gasto Público % Gasto en Salud,51,49,50,50,56,56,62,61,60,60,60,63,60,60,60,59,56,57,60
Latvia,Gasto Privado % Gasto en Salud,49,51,50,50,43,44,38,39,40,40,40,37,40,40,40,41,44,43,40
Lithuania,Gasto en Salud % PIB,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,7,6,7
Lithuania,Gasto en Salud PPP per cápita,522,565,642,742,713,812,957,1093,1298,1326,1350,1473,1542,1629,1739,1862,1999,2143,2313
Lithuania,Gasto Público % Gasto en Salud,67,70,73,74,63,61,62,66,71,72,71,70,67,66,67,66,66,65,66
Lithuania,Gasto Privado % Gasto en Salud,33,30,27,26,37,39,38,34,29,28,29,29,33,34,33,34,34,35,34
Luxembourg,Gasto en Salud % PIB,6,6,7,7,7,7,7,6,7,7,7,6,6,6,5,5,5,5,5
Luxembourg,Gasto en Salud PPP per cápita,3287,3604,3979,4217,4737,4942,5269,5278,5725,6091,6079,5695,5175,5346,5574,5547,5675,5870,6048
Luxembourg,Gasto Público % Gasto en Salud,83,84,84,84,84,84,84,85,88,87,86,84,84,84,84,85,84,85,85
Luxembourg,Gasto Privado % Gasto en Salud,17,16,16,16,16,16,16,15,12,13,14,17,15,15,14,14,14,14,14
Netherlands,Gasto en Salud % PIB,8,8,9,9,9,9,9,9,9,10,10,10,11,11,11,10,10,10,10
Netherlands,Gasto en Salud PPP per cápita,2466,2685,2987,3096,3264,3426,3723,3980,4317,4466,4585,4779,4989,5219,5214,5205,5280,5499,5635
Netherlands,Gasto Público % Gasto en Salud,69,70,70,70,69,68,70,69,67,67,67,67,67,67,68,65,64,65,65
Netherlands,Gasto Privado % Gasto en Salud,31,30,30,30,31,32,30,31,33,33,33,33,33,33,32,35,36,35,35
Norway,Gasto en Salud % PIB,8,8,9,9,9,8,8,8,8,9,9,9,9,9,9,10,11,10,10
Norway,Gasto en Salud PPP per cápita,2858,3038,3429,3562,3762,3995,4299,4525,4945,5060,5194,5492,5774,6013,6193,6144,6270,6516,6818
Norway,Gasto Público % Gasto en Salud,82,83,83,83,83,83,83,84,84,84,85,84,85,85,85,86,85,85,85
Norway,Gasto Privado % Gasto en Salud,18,17,17,17,17,17,17,16,16,16,15,16,15,15,15,14,15,15,15
Poland,Gasto en Salud % PIB,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,7,6
Poland,Gasto en Salud PPP per cápita,564,630,716,731,783,807,878,986,1167,1269,1353,1424,1478,1575,1627,1717,1851,1979,2015
Poland,Gasto Público % Gasto en Salud,68,70,70,69,67,69,69,70,71,72,71,71,70,70,70,69,69,69,71
Poland,Gasto Privado % Gasto en Salud,32,30,30,31,33,31,31,30,29,28,29,29,30,30,30,31,31,31,29
Portugal,Gasto en Salud % PIB,8,8,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9
Portugal,Gasto en Salud PPP per cápita,1588,1647,1747,1858,1998,2147,2254,2333,2492,2618,2683,2549,2467,2529,2587,2659,2972,3084,3242
Portugal,Gasto Público % Gasto en Salud,70,71,73,71,71,71,69,69,68,70,70,68,66,67,66,66,61,61,61
Portugal,Gasto Privado % Gasto en Salud,30,29,27,29,29,29,31,31,32,30,30,32,34,33,34,34,39,39,38
Slovakia,Gasto en Salud % PIB,5,5,6,5,6,7,7,7,7,8,8,7,8,8,7,7,7,7,7
Slovakia,Gasto en Salud PPP per cápita,602,661,733,772,969,1096,1294,1522,1651,1838,1949,1919,2035,2101,1999,2034,2110,2094,2180
Slovakia,Gasto Público % Gasto en Salud,88,88,88,87,78,74,69,68,75,73,72,73,72,74,80,79,80,79,79
Slovakia,Gasto Privado % Gasto en Salud,12,12,12,13,22,26,31,32,25,27,28,27,28,26,20,21,20,21,21
Slovenia,Gasto en Salud % PIB,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8
Slovenia,Gasto en Salud PPP per cápita,1406,1494,1624,1709,1806,1910,2014,2077,2338,2361,2385,2473,2533,2621,2626,2689,2816,2961,3158
Slovenia,Gasto Público % Gasto en Salud,71,71,72,72,72,72,72,70,72,72,72,72,71,70,71,71,72,72,72
Slovenia,Gasto Privado % Gasto en Salud,29,29,28,28,28,28,28,30,28,28,28,28,29,30,29,29,28,28,28
Spain,Gasto en Salud % PIB,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
Spain,Gasto en Salud PPP per cápita,1471,1561,1673,1909,2018,2152,2424,2594,2805,2931,2894,2927,2902,2934,3045,3186,3276,3482,3576
Spain,Gasto Público % Gasto en Salud,72,71,71,71,71,72,72,72,73,75,74,73,72,71,70,71,72,71,70
Spain,Gasto Privado % Gasto en Salud,28,29,29,29,29,28,28,28,27,25,26,27,28,29,30,29,28,29,30
Sweden,Gasto en Salud % PIB,7,8,8,8,8,8,8,8,8,9,8,10,11,11,11,11,11,11,11
Sweden,Gasto en Salud PPP per cápita,2173,2368,2543,2647,2754,2796,3044,3278,3474,3551,3530,4665,4896,5073,5193,5331,5396,5636,5828
Sweden,Gasto Público % Gasto en Salud,84,82,83,83,83,82,82,83,83,82,82,84,84,84,84,84,84,85,85
Sweden,Gasto Privado % Gasto en Salud,16,18,17,17,17,18,18,17,17,18,18,16,16,16,16,16,16,15,15
Switzerland,Gasto en Salud % PIB,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12
Switzerland,Gasto en Salud PPP per cápita,3361,3591,3839,3936,4119,4189,4443,4817,5165,5403,5481,5841,6175,6551,6846,7309,7573,7928,8114
Switzerland,Gasto Público % Gasto en Salud,29,30,31,31,31,31,31,31,32,32,32,33,34,33,32,32,31,32,31
Switzerland,Gasto Privado % Gasto en Salud,71,70,69,69,69,69,69,69,68,68,68,67,66,67,68,68,69,68,69
Turkey,Gasto en Salud % PIB,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
Turkey,Gasto en Salud PPP per cápita,443,454,476,486,539,587,707,784,844,857,881,921,923,981,1042,1061,1136,1176,1171
Turkey,Gasto Público % Gasto en Salud,62,67,70,71,72,68,69,69,73,80,78,79,79,78,78,78,78,78,77
Turkey,Gasto Privado % Gasto en Salud,38,33,30,29,28,32,31,31,27,20,22,21,21,22,22,22,22,22,23
United Kingdom,Gasto en Salud % PIB,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10
United Kingdom,Gasto en Salud PPP per cápita,1927,2129,2338,2491,2721,2798,3035,3172,3373,3519,3645,3720,3863,4002,4125,4228,4311,4473,4620
United Kingdom,Gasto Público % Gasto en Salud,77,77,78,79,80,81,82,81,82,83,82,82,81,80,80,80,80,79,79
United Kingdom,Gasto Privado % Gasto en Salud,23,23,22,21,20,19,18,19,18,17,18,18,19,20,20,20,20,21,21
Australia,Gasto en Salud % PIB,8,8,8,8,8,8,8,8,8,9,8,9,9,9,9,9,9,9,9
Australia,Gasto en Salud PPP per cápita,2155,2278,2438,2561,2753,2842,3012,3181,3297,3554,3587,3761,3778,4162,4283,4389,4613,4725,5005
Australia,Gasto Público % Gasto en Salud,72,71,72,71,72,72,72,73,72,73,72,73,71,68,67,68,69,69,69
Australia,Gasto Privado % Gasto en Salud,28,29,28,29,28,28,28,27,28,27,28,27,29,32,33,32,31,31,31
Japan,Gasto en Salud % PIB,7,7,7,8,8,8,8,8,8,9,9,11,11,11,11,11,11,11,11
Japan,Gasto en Salud PPP per cápita,1909,2013,2097,2196,2316,2453,2572,2712,2843,2995,3192,3778,3988,4177,4214,4368,4305,4386,4504
Japan,Gasto Público % Gasto en Salud,80,81,81,80,80,81,80,81,81,81,82,84,84,84,84,84,84,84,84
Japan,Gasto Privado % Gasto en Salud,20,19,19,20,20,19,20,19,19,19,18,16,16,16,16,16,16,16,16
New Zealand,Gasto en Salud % PIB,7,8,8,8,8,8,9,8,9,10,10,10,10,9,9,9,9,9,9
New Zealand,Gasto en Salud PPP per cápita,1607,1693,1834,1853,1985,2124,2396,2440,2710,2940,2983,3089,3141,3335,3467,3482,3736,3816,4024
New Zealand,Gasto Público % Gasto en Salud,74,73,75,75,77,77,77,79,78,78,78,79,79,78,77,75,75,75,75
New Zealand,Gasto Privado % Gasto en Salud,26,27,25,25,23,23,23,21,22,22,22,21,21,22,23,25,25,25,25
Republic of Korea,Gasto en Salud % PIB,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7,8
Republic of Korea,Gasto en Salud PPP per cápita,717,866,885,969,1035,1151,1317,1476,1613,1713,1879,1961,2064,2143,2293,2531,2748,2929,3214
Republic of Korea,Gasto Público % Gasto en Salud,50,56,57,56,57,57,59,59,57,59,59,59,58,58,57,57,58,58,58
Republic of Korea,Gasto Privado % Gasto en Salud,50,44,43,44,43,43,41,41,43,41,41,41,42,42,43,43,42,42,42
